educations-end_date,educations-field_of_study,educations-school-name,positions-is-current,num-connections,industry-specialization
31/12/2000,16,BULUA NATIONAL HIGH SCHOOL,0,0,4
31/12/1991,16,UNIVERSITY OF THE PHILIPPINES,0,36,0
31/12/1981,16,UNEP - IRIGA CITY,1,101,4
31/12/2000,16,CONSOLATRIX ACADEMY TOLEDO CITY,0,58,6
31/12/2010,6,NATIONAL UNIVERSITY OF SINGAPORE,0,28,16
31/12/1991,6,UNIVERSITY OF SANTO TOMAS,0,137,3
31/12/2003,16,DE LA SALLE UNIVERSITY - DASMARINAS,0,3,15
31/12/2012,4,XAVIER UNIVERSITY - ATENEO DE CAGAYAN,0,2,4
31/12/1997,4,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,0,228,4
31/12/2007,16,UNIVERSITY OF SANTO TOMAS,0,14,4
31/12/2005,4,AMA COMPUTER COLLEGE,0,90,4
31/12/2000,10,DE LASALLE UNIVERSITY-DASMARIÑAS,0,0,16
31/12/2001,16,UNIVERSITY LUZON (FORMERLY LUZON COLLEGE)S,0,9,16
31/12/2009,16,INFORMATICS SINGAPORE,0,16,4
31/12/1996,16,ASSUMPTION SAN LORENZO,0,340,4
31/12/2015,14,NOTRE DAME UNIVERSITY,0,15,16
31/12/1988,16,OUR LADY OF THE ANGELS SEMINARY,0,41,16
31/12/2004,10,ATENEO DE DAVAO UNIVERSITY,0,233,16
31/12/2007,16,ST.DOMINIC COLLEGE OF ARTS AND SCIENCES,0,0,7
31/12/2009,4,PICARDAL INSTITUTE OF SCIENCE AND TECHNOLOGY,0,3,4
31/12/2005,6,XAVIER UNIVERSITY - ATENEO DE CAGAYAN,0,19,16
31/12/1999,10,SAINT PAUL UNIVERSITY,0,49,2
31/12/2004,16,CEBU NORMAL UNIVERSITY,0,4,16
31/12/2010,5,CEBU TECHNOLOGICAL UNIVERSITY,0,23,1
31/12/2008,16,PHILIPPINE NORMAL UNIVERSITY,0,6,4
31/12/2000,16,CEBU NORMAL UNIVERSITY,0,0,5
31/12/1988,16,UNIVERSITY OF THE VISAYAS,1,4,16
31/12/2012,16,XAVIER UNIVERSITY (PH),0,30,14
31/12/1995,1,SAN BEDA COLLEGE,0,170,10
31/12/2008,16,PHILIPPINE CHRISTIAN UNIVERSITY,1,0,4
31/12/2000,16,UNIVERSITY OF SAN AGUSTÍN,0,156,4
31/12/2008,6,ATENEO DE MANILA UNIVERSITY,0,62,0
31/12/2002,16,ASIAN INSTITUTE OF MANAGEMENT,0,92,0
31/12/2000,6,"SAINT LOUIS UNIVERSITY, BAGUIO CITY, PHILIPPINES",0,57,4
31/12/2010,16,UNIVERSITY OF SOUTHERN PHILIPPINES,0,3,16
31/12/2011,0,MANILA CENTRAL UNIVERSITY,0,6,0
31/12/2004,16,UNIVERSITY OF THE PHILIPPINES,0,75,8
